,state,regional_division,population,count_articles,art_per_pop
0,North Carolina,South,10698973,50,4.673345750101435e-06
1,Nevada,West,3177772,19,5.979031849987979e-06
2,California,West,39029342,482,1.2349682964165781e-05
3,Arizona,West,7359197,91,1.2365479548923613e-05
4,Virginia,South,8683619,133,1.5316194780079595e-05
5,Florida,South,22244823,411,1.8476209048730126e-05
6,Oklahoma,South,4019800,75,1.8657644658938256e-05
7,Kansas,Midwest,2937150,63,2.144936417956182e-05
8,Maryland,South,6164660,157,2.5467746801932305e-05
9,Wisconsin,Midwest,5892539,191,3.241387116826889e-05
